accession_number,technology,assembly
"KJ185538.1","Illumina","BWA v. 2009"
"KJ185537.1","Illumina","BWA v. 2009"
"KJ185536.1","Illumina","BWA v. 2009"
"KJ185535.1","Illumina","BWA v. 2009"
"KJ185534.1","Illumina","BWA v. 2009"
"KJ185533.1","Illumina","BWA v. 2009"
"KJ185532.1","Illumina","BWA v. 2009"
"KJ185531.1","Illumina","BWA v. 2009"
"KJ185530.1","Illumina","BWA v. 2009"
"KJ185529.1","Illumina","BWA v. 2009"
"KJ185528.1","Illumina","BWA v. 2009"
"KJ185527.1","Illumina","BWA v. 2009"
"KJ185526.1","Illumina","BWA v. 2009"
"KJ185525.1","Illumina","BWA v. 2009"
"KJ185524.1","Illumina","BWA v. 2009"
"KJ185523.1","Illumina","BWA v. 2009"
"KJ185522.1","Illumina","BWA v. 2009"
"KJ185521.1","Illumina","BWA v. 2009"
"KJ185520.1","Illumina","BWA v. 2009"
"KJ185519.1","Illumina","BWA v. 2009"
"KJ185518.1","Illumina","BWA v. 2009"
"KJ185517.1","Illumina","BWA v. 2009"
"KJ185516.1","Illumina","BWA v. 2009"
"KJ185515.1","Illumina","BWA v. 2009"
"KJ185514.1","Illumina","BWA v. 2009"
"KJ185513.1","Illumina","BWA v. 2009"
"KJ185512.1","Illumina","BWA v. 2009"
"KJ185511.1","Illumina","BWA v. 2009"
"KJ185510.1","Illumina","BWA v. 2009"
"KJ185509.1","Illumina","BWA v. 2009"
"KJ185508.1","Illumina","BWA v. 2009"
"KJ185507.1","Illumina","BWA v. 2009"
"KJ185506.1","Illumina","BWA v. 2009"
"KJ185505.1","Illumina","BWA v. 2009"
"KJ185504.1","Illumina","BWA v. 2009"
"KJ185503.1","Illumina","BWA v. 2009"
"KJ185502.1","Illumina","BWA v. 2009"
"KJ185501.1","Illumina","BWA v. 2009"
"KJ185500.1","Illumina","BWA v. 2009"
"KJ185499.1","Illumina","BWA v. 2009"
"KJ185498.1","Illumina","BWA v. 2009"
"KJ185497.1","Illumina","BWA v. 2009"
"OL638689.1","Illumina","BWA-MEM v. 0.7.17"
"OL638688.1","Illumina","BWA-MEM v. 0.7.17"
"OL638687.1","Illumina","BWA-MEM v. 0.7.17"
"OL638686.1","Illumina","BWA-MEM v. 0.7.17"
"OL638685.1","Illumina","BWA-MEM v. 0.7.17"
"OL638684.1","Illumina","BWA-MEM v. 0.7.17"
"OL638683.1","Illumina","BWA-MEM v. 0.7.17"
"OL638682.1","Illumina","BWA-MEM v. 0.7.17"
"OL638681.1","Illumina","BWA-MEM v. 0.7.17"
"OL638680.1","Illumina","BWA-MEM v. 0.7.17"
"OL638679.1","Illumina","BWA-MEM v. 0.7.17"
"OL638678.1","Illumina","BWA-MEM v. 0.7.17"
"OL638677.1","Illumina","BWA-MEM v. 0.7.17"
"OL638676.1","Illumina","BWA-MEM v. 0.7.17"
"OL638675.1","Illumina","BWA-MEM v. 0.7.17"
"OL638674.1","Illumina","BWA-MEM v. 0.7.17"
"OL638673.1","Illumina","BWA-MEM v. 0.7.17"
"OL638672.1","Illumina","BWA-MEM v. 0.7.17"
"OL638671.1","Illumina","BWA-MEM v. 0.7.17"
"OL638670.1","Illumina","BWA-MEM v. 0.7.17"
"KJ185496.1","Illumina","BWA v. 2009"
"KJ185495.1","Illumina","BWA v. 2009"
"KJ185494.1","Illumina","BWA v. 2009"
"KJ185493.1","Illumina","BWA v. 2009"
"KJ185492.1","Illumina","BWA v. 2009"
"KJ185491.1","Illumina","BWA v. 2009"
"KJ185490.1","Illumina","BWA v. 2009"
"KJ185489.1","Illumina","BWA v. 2009"
"KJ185488.1","Illumina","BWA v. 2009"
"KJ185487.1","Illumina","BWA v. 2009"
"KJ185486.1","Illumina","BWA v. 2009"
"KJ185485.1","Illumina","BWA v. 2009"
"KJ185484.1","Illumina","BWA v. 2009"
"KJ185483.1","Illumina","BWA v. 2009"
"KJ185482.1","Illumina","BWA v. 2009"
"KJ185481.1","Illumina","BWA v. 2009"
"KJ185480.1","Illumina","BWA v. 2009"
"KJ185479.1","Illumina","BWA v. 2009"
"KJ185478.1","Illumina","BWA v. 2009"
"KJ185477.1","Illumina","BWA v. 2009"
"KJ185476.1","Illumina","BWA v. 2009"
"KJ185475.1","Illumina","BWA v. 2009"
"KJ185474.1","Illumina","BWA v. 2009"
"KJ185473.1","Illumina","BWA v. 2009"
"KJ185472.1","Illumina","BWA v. 2009"
"KJ185471.1","Illumina","BWA v. 2009"
"KJ185470.1","Illumina","BWA v. 2009"
"KJ185469.1","Illumina","BWA v. 2009"
"KJ185468.1","Illumina","BWA v. 2009"
"KJ185467.1","Illumina","BWA v. 2009"
"KJ185466.1","Illumina","BWA v. 2009"
"KJ185465.1","Illumina","BWA v. 2009"
"KJ185464.1","Illumina","BWA v. 2009"
"KJ185463.1","Illumina","BWA v. 2009"
"KJ185462.1","Illumina","BWA v. 2009"
"KJ185461.1","Illumina","BWA v. 2009"
"KJ185460.1","Illumina","BWA v. 2009"
"KJ185459.1","Illumina","BWA v. 2009"
"KJ185458.1","Illumina","BWA v. 2009"
"KJ185457.1","Illumina","BWA v. 2009"
"KJ185456.1","Illumina","BWA v. 2009"
"KJ185455.1","Illumina","BWA v. 2009"
"KJ185454.1","Illumina","BWA v. 2009"
"KJ185453.1","Illumina","BWA v. 2009"
"KJ185452.1","Illumina","BWA v. 2009"
"KJ185451.1","Illumina","BWA v. 2009"
"KJ185450.1","Illumina","BWA v. 2009"
"KJ185449.1","Illumina","BWA v. 2009"
"KJ185448.1","Illumina","BWA v. 2009"
"KJ185447.1","Illumina","BWA v. 2009"
"KJ185446.1","Illumina","BWA v. 2009"
"KJ185445.1","Illumina","BWA v. 2009"
"KJ185444.1","Illumina","BWA v. 2009"
"KJ185443.1","Illumina","BWA v. 2009"
"KJ185442.1","Illumina","BWA v. 2009"
"KJ185441.1","Illumina","BWA v. 2009"
"KJ185440.1","Illumina","BWA v. 2009"
"KJ185439.1","Illumina","BWA v. 2009"
"KJ185438.1","Illumina","BWA v. 2009"
"KJ185437.1","Illumina","BWA v. 2009"
"KJ185436.1","Illumina","BWA v. 2009"
"KJ185435.1","Illumina","BWA v. 2009"
"KJ185434.1","Illumina","BWA v. 2009"
"KJ185433.1","Illumina","BWA v. 2009"
"KJ185432.1","Illumina","BWA v. 2009"
"KJ185431.1","Illumina","BWA v. 2009"
"KJ185430.1","Illumina","BWA v. 2009"
"KJ185429.1","Illumina","BWA v. 2009"
"KJ185428.1","Illumina","BWA v. 2009"
"KJ185427.1","Illumina","BWA v. 2009"
"KJ185426.1","Illumina","BWA v. 2009"
"KJ185425.1","Illumina","BWA v. 2009"
"KJ185424.1","Illumina","BWA v. 2009"
"KJ185423.1","Illumina","BWA v. 2009"
"KJ185422.1","Illumina","BWA v. 2009"
"KJ185421.1","Illumina","BWA v. 2009"
"KJ185420.1","Illumina","BWA v. 2009"
"KJ185419.1","Illumina","BWA v. 2009"
"KJ185418.1","Illumina","BWA v. 2009"
"KJ185417.1","Illumina","BWA v. 2009"
"KJ185416.1","Illumina","BWA v. 2009"
"KJ185415.1","Illumina","BWA v. 2009"
"KJ185414.1","Illumina","BWA v. 2009"
"KJ185413.1","Illumina","BWA v. 2009"
"KJ185412.1","Illumina","BWA v. 2009"
"KJ185411.1","Illumina","BWA v. 2009"
"KJ185410.1","Illumina","BWA v. 2009"
"KJ185409.1","Illumina","BWA v. 2009"
"KJ185408.1","Illumina","BWA v. 2009"
"KJ185407.1","Illumina","BWA v. 2009"
"KJ185406.1","Illumina","BWA v. 2009"
"KJ185405.1","Illumina","BWA v. 2009"
"KJ185404.1","Illumina","BWA v. 2009"
"KJ185403.1","Illumina","BWA v. 2009"
"KJ185402.1","Illumina","BWA v. 2009"
"KJ185401.1","Illumina","BWA v. 2009"
"KJ185400.1","Illumina","BWA v. 2009"
"KJ185399.1","Illumina","BWA v. 2009"
"KJ185398.1","Illumina","BWA v. 2009"
"KJ185397.1","Illumina","BWA v. 2009"
"KJ185396.1","Illumina","BWA v. 2009"
"KJ185395.1","Illumina","BWA v. 2009"
"KJ185394.1","Illumina","BWA v. 2009"
"JN660158.1","NA","NA"
"KJ934387.1","NA","NA"
"KJ919975.1","NA","NA"
"KJ920750.1","NA","NA"
"KJ920748.1","NA","NA"
"KJ937089.1","NA","NA"
"KJ871653.1","NA","NA"
"KJ890390.1","NA","NA"
"KJ890387.1","NA","NA"
"KJ890389.1","NA","NA"
"KJ890388.1","NA","NA"
"KJ882428.1","NA","NA"
"KJ871654.1","NA","NA"
"KJ882427.1","NA","NA"
"KJ882848.1","NA","NA"
"KF927040.1","Sanger dideoxy sequencing","Sequencher v. 5.0"
"AB626610.1","NA","NA"
"AB626609.1","NA","NA"
"KJ868085.1","NA","NA"
"KJ868087.1","NA","NA"
"KJ868086.1","NA","NA"
"KJ868084.1","NA","NA"
"KJ863728.1","NA","NA"
"KJ857246.1","NA","NA"
"KJ857245.1","NA","NA"
"KJ850479.1","NA","NA"
"KJ849732.1","NA","NA"
"KJ849755.1","NA","NA"
"KJ850495.1","NA","NA"
"KJ849618.1","NA","NA"
"KJ843286.1","NA","NA"
"KJ816750.1","NA","NA"
"KJ831808.1","NA","NA"
"KJ808574.1","NA","NA"
"KJ809106.1","NA","NA"
"KJ816751.1","NA","NA"
"KJ816752.1","NA","NA"
"KJ812153.1","NA","NA"
"AY275536.3","NA","NA"
"AY275535.2","NA","NA"
"AY275537.2","NA","NA"
"AY275533.2","NA","NA"
"AY275532.2","NA","NA"
"AY275531.2","NA","NA"
"AY275527.2","NA","NA"
"AY275534.1","NA","NA"
"AY275530.1","NA","NA"
"AY275529.1","NA","NA"
"AY275528.1","NA","NA"
"KJ786931.1","NA","NA"
"KJ786932.1","NA","NA"
"KJ786933.1","NA","NA"
"KJ801919.1","NA","NA"
"KJ801917.1","NA","NA"
"KJ781301.1","NA","NA"
"KJ801916.1","NA","NA"
"KJ756350.1","NA","NA"
"KJ767787.1","NA","NA"
"KJ733699.1","NA","NA"
"KJ748573.1","NA","NA"
"KJ765981.1","NA","NA"
"KJ739542.1","NA","NA"
"KJ746501.1","NA","NA"
"KJ765971.1","NA","NA"
"KJ748572.1","NA","NA"
"KJ154949.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154948.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154947.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154946.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154945.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154944.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154943.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154942.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154941.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154940.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154939.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154938.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154937.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154936.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154935.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154934.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154933.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154932.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154931.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154930.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154929.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154928.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154927.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154926.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154925.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154924.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154923.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154922.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154921.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154920.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154919.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154918.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"OL638669.1","Illumina","BWA-MEM v. 0.7.17"
"OL638668.1","Illumina","BWA-MEM v. 0.7.17"
"OL638667.1","Illumina","BWA-MEM v. 0.7.17"
"OL638666.1","Illumina","BWA-MEM v. 0.7.17"
"OL638665.1","Illumina","BWA-MEM v. 0.7.17"
"OL638664.1","Illumina","BWA-MEM v. 0.7.17"
"OL638663.1","Illumina","BWA-MEM v. 0.7.17"
"OL638662.1","Illumina","BWA-MEM v. 0.7.17"
"OL638661.1","Illumina","BWA-MEM v. 0.7.17"
"OL638660.1","Illumina","BWA-MEM v. 0.7.17"
"OL638659.1","Illumina","BWA-MEM v. 0.7.17"
"OL638658.1","Illumina","BWA-MEM v. 0.7.17"
"OL638657.1","Illumina","BWA-MEM v. 0.7.17"
"OL638656.1","Illumina","BWA-MEM v. 0.7.17"
"OL638655.1","Illumina","BWA-MEM v. 0.7.17"
"OL638654.1","Illumina","BWA-MEM v. 0.7.17"
"OL638653.1","Illumina","BWA-MEM v. 0.7.17"
"OL638652.1","Illumina","BWA-MEM v. 0.7.17"
"OL638651.1","Illumina","BWA-MEM v. 0.7.17"
"OL638650.1","Illumina","BWA-MEM v. 0.7.17"
"KJ154917.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154916.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154915.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154914.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154913.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154912.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154911.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154910.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154909.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154908.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154907.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154906.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154905.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154904.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154903.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154902.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154901.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154900.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154899.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154898.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154897.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154896.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154895.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154894.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154893.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154892.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154891.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154890.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154889.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154888.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154887.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154886.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154885.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154884.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154883.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154882.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154881.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154880.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154879.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154878.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154877.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154876.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154875.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154874.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154873.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154872.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154871.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154870.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154869.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154868.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154867.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154866.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154865.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154864.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154863.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154862.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154861.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154860.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154859.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154858.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154857.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154856.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154855.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154854.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154853.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154852.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154851.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154850.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154849.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154848.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154847.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154846.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154845.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154844.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154843.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154842.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154841.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154840.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154839.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154838.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154837.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154836.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154835.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154834.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154833.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154832.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154831.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154830.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154829.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154828.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154827.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154826.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154825.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154824.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154823.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154822.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154821.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154820.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154819.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154818.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154817.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154816.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154815.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154814.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154813.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154812.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154811.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154810.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154809.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154808.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154807.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154806.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154805.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154804.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154803.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154802.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154801.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154800.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154799.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154798.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154797.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154796.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154795.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154794.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154793.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154792.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154791.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154790.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154789.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154788.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154787.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154786.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154785.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154784.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154783.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154782.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154781.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154780.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154779.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154778.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154777.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154776.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154775.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154774.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154773.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154772.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154771.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154770.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154769.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154768.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154767.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154766.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154765.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154764.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154763.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154762.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154761.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154760.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154759.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154758.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154757.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154756.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154755.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154754.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154753.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154752.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154751.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154750.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154749.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154748.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154747.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154746.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154745.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154744.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154743.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154742.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154741.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154740.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154739.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154738.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154737.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154736.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154735.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154734.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154733.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154732.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154731.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154730.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154729.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154728.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154727.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154726.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154725.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154724.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154723.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154722.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154721.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154720.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154719.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"KJ154718.1","Illumina","BWA v. 0.5; MIA v. 1.0"
"OL638649.1","Illumina","BWA-MEM v. 0.7.17"
"OL638648.1","Illumina","BWA-MEM v. 0.7.17"
"OL638647.1","Illumina","BWA-MEM v. 0.7.17"
"OL638646.1","Illumina","BWA-MEM v. 0.7.17"
