accession_number,technology,assembly
"JX128091.1","NA","NA"
"JX128090.1","NA","NA"
"JX128089.1","NA","NA"
"JX128088.1","NA","NA"
"JX128087.1","NA","NA"
"JX128086.1","NA","NA"
"JX128085.1","NA","NA"
"JX128084.1","NA","NA"
"JX128083.1","NA","NA"
"JX128082.1","NA","NA"
"JX128081.1","NA","NA"
"JX128080.1","NA","NA"
"JX128079.1","NA","NA"
"JX128078.1","NA","NA"
"JX128077.1","NA","NA"
"JX128076.1","NA","NA"
"JX128075.1","NA","NA"
"JX128074.1","NA","NA"
"JX128073.1","NA","NA"
"JX128072.1","NA","NA"
"JX128071.1","NA","NA"
"JX128070.1","NA","NA"
"JX128069.1","NA","NA"
"JX128068.1","NA","NA"
"JX128067.1","NA","NA"
"JX128066.1","NA","NA"
"JX128065.1","NA","NA"
"JX128064.1","NA","NA"
"JX128063.1","NA","NA"
"JX128062.1","NA","NA"
"JX128061.1","NA","NA"
"JX128060.1","NA","NA"
"JX128059.1","NA","NA"
"JX128058.1","NA","NA"
"OP682177.1","Illumina","bwa v. 0.7.17"
"OP682176.1","Illumina","bwa v. 0.7.17"
"OP682175.1","Illumina","bwa v. 0.7.17"
"OP682174.1","Illumina","bwa v. 0.7.17"
